entity,n,org_flag,url1,url2,url3,url4,url5,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Angola Burl Cain,314,False,https://www.theadvocate.com/baton_rouge/news/politics/article_d6826c2e-136d-5a19-a62d-fcf3383887e6.html,https://en.wikipedia.org/wiki/Burl_Cain,https://www.nola.com/news/politics/article_987176f3-8571-543b-b331-186b8077a7cf.html,https://www.motherjones.com/politics/2011/07/burl-cain-angola-prison/,https://www.nola.com/news/article_834bca42-9ad9-11ea-8f20-df863bb2fdd5.html,Angola warden Burl Cain to resign amid twin probes into his side ...,Burl Cain - Wikipedia,The fall of Burl Cain: How one last side deal led to longtime Angola ...,God's Own Warden – Mother Jones,"Burl Cain, storied former Angola warden, hired to head Mississippi ...","Burl Cain, the legendary and long-tenured warden of Louisiana's storied Angola prison, is stepping down effective Jan. 1, he told WAFB-TV on Wednesday.","Nathan Burl Cain (born July 2, 1942) is the commissioner of the Mississippi Department of Corrections and the former warden at the ...","Dec 15, 2015 ... Such dubious entanglements — which would occur again and again in different forms over a decades-long career — form the underbelly of the Burl ...","If you ever find yourself inside Louisiana's Angola prison, Burl Cain will make sure you find Jesus—or regret ever crossing his path.","May 20, 2020 ... Burl Cain, the legendary and controversial former warden of the Louisiana State Penitentiary at Angola who quit in 2015 amid probes into his ..."
Angola Angola High School,284,True,https://ahs.msdsteuben.k12.in.us/,https://www.msdsteuben.k12.in.us/,https://en.wikipedia.org/wiki/Angola_High_School,https://www.angolahornets.com/,https://ams.msdsteuben.k12.in.us/,Angola High School | Home,MSD of Steuben County | Home,Angola High School - Wikipedia,Angola High School,Angola Middle School | Home,Welcome to Angola High School! · programs · Live Feed · Find Us · Schools · Stay Connected.,group of high school girls on homecoming court. Preschool children sit on the rug for a lesson on the Montessori Bells from a male. Pause Gallery.,"Angola High School (AHS) is a public high school named for the town it serves in Angola, Steuben County, Indiana. Angola High School is in the lake region ...",Angola High School · Composite; Search; Menu. Search. Site Navigation. Sports · Boy's Sports · Baseball · Basketball · Cross Country · Football · Golf ...,Angola High Scjool seniors walk through the halls of Angola Middle School in their caps and. High School Credit. Students inflating a hot air balloon.
Angola Chevron,281,True,https://angola.chevron.com/en,https://www.chevron.com/projects/angola-lng,https://angola.chevron.com/en/about,https://www.chevron.com/~/media/chevron/projects/documents/angolafactsheet,https://angola.chevron.com/en/about/our-history-in-angola,Welcome to Chevron Angola — Angola.chevron.com,Angola Liquefied Natural Gas Project — Chevron.com,About — Angola.chevron.com,Chevron in Angola,Our History in Angola — Angola.chevron.com,This is the external website for Chevron in Angola.,"Chevron holds a 38.1 percent interest in the 87-mile (140-km) pipeline, which was designed to transport up to 250 million cubic feet per day of natural gas from ...","Along with Sonangol and our partners, we invest in projects and programs that create measurable and enduring value for both the community and our business.","Chevron operates in Angola through its subsidiary Cabinda Gulf Oil Company Limited, and we rank among ... Angola LNG, a liquefied natural gas plant in Soyo.","Chevron has been in Angola since the 1930s, when Texaco® products were first marketed there. Today, through our wholly owned subsidiary, Cabinda Gulf Oil ..."
Angola Amy Oberlin,251,False,https://www.linkedin.com/in/amy-oberlin-165a4999,https://www.legacy.com/us/obituaries/kpcnews/name/katie-oberlin-obituary?id=12272164,https://www.linkedin.com/in/amy-oberlin-9349b224,https://www.cahootscoffee.org/leadership-team,https://www.kpcnews.com/columnists/amy_oberlin/,Amy Oberlin - Editor - Hurd Media Group | LinkedIn,"Katie Oberlin Obituary (2017) - Pleasant Lake, IN - KPCNews",Amy Oberlin - news editor - KPC Media Group | LinkedIn,Leadership Team | cahootscoffeecafe,Amy Oberlin | kpcnews.com,"View Amy Oberlin's profile on LinkedIn, the world's largest professional community. Amy has 2 jobs listed ... Angola, Indiana, United States194 connections.","Dec 5, 2017 ... Surviving are her parents; her sister, Amy Oberlin of Angola; her niece, PaigeAnn Puthoff of Angola; grandparents Mac Lynn and Pat Oberlin ...","View Amy Oberlin's profile on LinkedIn, the world's largest professional community. Amy has 1 job listed ... Angola, Indiana, United States183 connections.","Amy Oberlin is the news editor at The Herald Republican in Angola. A Steuben County native, she has immerse herself in volunteer opportunities benefiting ...","After back-to-back RBI singles by Mortrud and Kauffman, Westview baseball leads 6-0 over Bremen and forces a pitching change. Over at the softball diamond, ..."
Angola Ymca,245,True,https://www.ymcasteuben.org/,https://www.facebook.com/YMCASteuben/,https://www.ymcasteuben.org/memberships/,"https://www.indeed.com/q-Ymca-l-Angola,-IN-jobs.html",https://www.ymcasteuben.org/classes/21/pool-schedule,YMCA of Steuben County – Building Better Communities,YMCA of Steuben County - Home | Facebook,Memberships – YMCA of Steuben County,"Ymca Jobs, Employment in Angola, IN | Indeed.com",Pool Schedule – YMCA of Steuben County,"Welcome to the YMCA of Steuben County. We're part of a nonprofit organization of over 2,700 Ys located in 10,000 communities across the United States ...","Youth Development. Healthy Living. Social Responsibiltly. 500 E Harcourt Rd, Angola, IN 46703.","500 East Harcourt Road Angola, IN 46703 ... The YMCA of Steuben County is a 501(C)(3) Non-Profit Organization. Donations are tax-exempt FEIN: 35-1999599 ...","23 Ymca jobs available in Angola, IN on Indeed.com. Apply to Camp Manager, Daycare Teacher, Camp Counselor and more!","To put Christian principles into practice through programs that build healthy spirit, mind and body for all. The YMCA of Steuben County is a 501(C)(3) Non- ..."
Angola Feliciana Parish Sheriff Office,229,True,https://www.wfpso.org/Detention/Jail-Bookings,https://www.theadvocate.com/baton_rouge/news/crime_police/article_1e84fa10-5ac8-11e7-bbde-b7432a3f5cd4.html,https://www.wafb.com/story/37220207/3-corrections-officers-at-angola-arrested-on-numerous-drug-sex-charges,https://www.facebook.com/WFSheriff,https://www.ksla.com/2022/04/18/angola-corrections-officer-accused-excessive-force/,West Feliciana Parish Sheriff's Office > Detention > Jail Bookings,West Feliciana Parish sends rape kit in case against Angola warden ...,"3 corrections officers at Angola arrested on numerous drug, sex ...",West Feliciana Parish Sheriff's Office | Facebook,Angola corrections officer accused of excessive force,"1-12-22 - Henderson, Tory, 40, 17544 Tunica Trace, Angola; bench warrant. 1-12-22 - Rogers, Matthew, 32, 6515 HWY 68, Jackson; operating a vehicle while ...","Jun 26, 2017 ... The West Feliciana Parish Sheriff's Office on Monday gave the rape kit in the case against an Angola assistant warden to the State Police ...","Jan 8, 2018 ... Diamond Nicholson (Source: West Feliciana Parish Sheriff's Office). ANGOLA, LA (WAFB) - Three employees at Louisiana State Penitentiary have ...",West Feliciana Parish Sheriff's Office. 5211 likes · 357 talking about this. Welcome to the official WFP Sheriff's Office Facebook page! Protecting with...,"Apr 18, 2022 ... King surrendered to West Feliciana Parish Sheriff's Deputies today at the parish prison. King remains on investigative leave pending the ..."
Angola Cameron Memorial Community Hospital,224,True,https://www.cameronmch.com/,https://www.facebook.com/CameronHospital/,https://www.cameronmch.com/careers/,https://www.linkedin.com/company/cameron-memorial-community-hospital,https://www.cameronmch.com/contact/,"Cameron Memorial Community Hospital - Angola, IN",Cameron Memorial Community Hospital - Home | Facebook,"Careers - Cameron Memorial Community Hospital - Angola, IN",Cameron Memorial Community Hospital | LinkedIn,Contact - Cameron Hospital,"Cameron Memorial Community Hospital is a 25-bed, independent, not-for-profit serving Angola and Steuben County as a Top 100 Critical Access Hospital.","At Cameron Memorial Community Hospital, we are committed to you receiving high quality health care,... 416 E Maumee St, Angola, IN 46703.","Apply for open positions at Cameron. Learn what jobs Cameron is hiring for. Employment decisions at CMCH will be based on merit, qualifications & abilities.","Cameron Memorial Community Hospital is an independent, nonprofit, 25-bed, critical access hospital located in Angola, Indiana. Our guiding principle defines ...","This email is not monitored 24/7. For emergencies, please contact 911. 416 E. Maumee Street Angola, IN 46703. Phone: 260-665-2141 or 800-942-9583 ..."
Angola Associated Press,223,True,https://apnews.com/hub/angola,https://blog.smu.edu/research/2011/03/23/associated-press-projecto-paleoangola-discovers-angolas-first-dinosaur/,https://apnews.com/article/crime-louisiana-montgomery-henry-montgomery-f74f4e7351b3d72bd1ce1685279c9727,https://www.ap.org/,https://apnews.com/article/entertainment-europe-africa-ap-top-news-gun-politics-9dbcf39ab16e423a89b4b08b5e23fee0,Angola,Associated Press: Projecto PaleoAngola discovers Angola's first ...,"Henry Montgomery, at center of juvenile life debate, is free | AP News","The Associated Press - Video, photo, text, audio, data news agency","Prince Harry walks through Angola mine field, echoing Diana | AP ...","Stay informed and read the latest news today from The Associated Press, the definitive source for independent journalism from every corner of the globe.","Mar 23, 2011 ... Associated Press: Projecto PaleoAngola discovers Angola's first dinosaur ... for discovery of the first fossil of a dinosaur from Angola.","Nov 17, 2021 ... ... said Montgomery during an interview with The Associated Press. ... He served decades at the Louisiana State Penitentiary at Angola.",News and services that expand the reach of factual reporting.,"Sep 27, 2019 ... JOHANNESBURG (AP) — A body armor-wearing Prince Harry on Friday followed in the footsteps of his late mother, Princess Diana, ..."
Angola Yelp,214,True,https://m.yelp.com/search?find_desc=Restaurants&find_loc=Angola%2C+IN,https://www.yelp.com/city/angola-in-us,https://www.yelp.com/search?cflt=restaurants&find_loc=Angola%2C+NY+14006,https://www.yelp.com/biz/carusos-restaurant-angola,https://www.yelp.com/biz/timbers-casual-dining-and-lounge-angola,"Top 10 Best Restaurants near Angola, IN - June 2022 - Yelp","THE 10 BEST Things to Do in Angola, IN - 2022 - Yelp","THE BEST 10 Restaurants near Angola, NY 14006 - Yelp",CARUSO'S RESTAURANT - 52 Photos & 92 Reviews - Italian - 2435 ...,TIMBERS STEAKHOUSE & SEAFOOD - 36 Photos & 63 Reviews ...,"Top 10 Best Restaurants near Angola, IN · The Hatchery. The Hatchery · Jed's Barbeque & Brew. Jed's Barbeque & Brew · 6 Autumns Food & Spirits. 6 Autumns Food & ...",Popular things to do in Angola · Chapman's Brewing Company on Yelp. Chapman's Brewing Company. $InexpensiveBreweries · Pokagon State Park on Yelp. Pokagon State ...,"Best Restaurants in Angola, NY 14006 - Toasted Hog, Gram's Pierogi House, Shawnas Kitchen at Chicks Bowling, Paulette's Blue Collar Inn, Crosby's, ...",This is my favorite place right now in Angola. The service is always awesome and the food is consistently great. I would never hesitate to… read more.,"Delivery & Pickup Options - 63 reviews of Timbers Steakhouse & Seafood ""Great place to have a steak and a beer. Very family friendly. ... Angola, IN."
Angola Mike Marturello,212,False,https://www.kpcnews.com/columnists/mike_marturello/,https://twitter.com/mikemkpc?lang=en,https://mobile.twitter.com/mikemarturello,https://downtownangola.org/about-dac/,https://www.gopopai.org/jdai-appears-to-be-paying-off-in-steuben-county/,Mike Marturello | kpcnews.com,Mike Marturello (@MikeMKPC) / Twitter,Michael Marturello (@MikeMarturello) / Twitter,About Us – Angola Main Street,JDAI appears to be paying off in Steuben County | POPAI,"Two dead, two in custody following Sunday morning shooting. Man charged in 2 Noble County molest cases · Lee proud to have earned her diploma at 24 · Angola ...","Mike Marturello is editor of The Herald Republican in Angola, Ind., a KPC Media Group daily newspaper. RT not necessarily endorsed by KPC.","Mike Marturello is editor of The Herald Republican newspaper in Angola, Ind. Opinions do not reflect those of KPC; RT not an endorsement.",2020-2022 Officers are: President – Colleen McNabb Everage. Vice President –. Treasurer – Karen DeForest. Secretary – Mike Marturello. The Angola Main ...,"Dec 8, 2019 ... The Herald Republican on 12/3/2019 by Mike Marturello. ANGOLA — The Juvenile Detention Alternatives Initiative is paying dividends in ..."
Angola Billy Graham Library,211,True,https://billygrahamlibrary.org/blog-billy-grahams-homegoing-a-casket-made-of-pine/,https://billygraham.org/story/a-simple-casket-for-billy-graham-pastor-to-millions/,https://billygrahamlibrary.org/,https://billygraham.org/story/george-beverly-shea-laid-to-rest-in-angola-casket/,https://billygrahamlibrary.org/event/ladies-night-out-2021/,Billy Graham's Homegoing: A Casket Made of Pine - The Billy ...,"A Simple Casket for Billy Graham, Pastor to Millions",The Billy Graham Library: Home,George Beverly Shea Laid to Rest in Angola Casket,Ladies Night Out (Sold Out) - The Billy Graham Library,"Feb 21, 2020 ... Prisoners at the Louisiana State Penitentiary in Angola, Louisiana, made the ... The Billy Graham Library Archives is honored to have in our ...","Feb 23, 2018 ... The plain wooden caskets caught Franklin Graham's eye during a 2005 preaching engagement at Angola. That's when he saw the inmates hard at work ...",Explore the life of Billy Graham and experience the Gospel he has preached for decades. Free admission.,"Apr 26, 2013 ... You would have thought he was 20.” Mr. Shea was buried April 22 at the Billy Graham Library in the Angola casket, just like the one Ruth Bell ...",Prepare your heart for the Christmas season at the Billy Graham Library's annual Ladies Night Out event. Spend some quality time with the women in your life ...
Angola Steuben Community Center,204,True,https://www.yelp.com/biz/steuben-community-center-angola,https://steubenfoundation.org/,https://www.co.steuben.in.us/departments/health/covid19.php,https://www.chssteubencounty.org/,https://www.co.steuben.in.us/departments/health/index.php,"STEUBEN COMMUNITY CENTER - 317 S Wayne St, Angola, IN",Steuben County Community Foundation: Home,"Welcome to Steuben County, IN",Community Humane Shelter of Steuben County,Steuben County Health Department,"Steuben Community Center · 317 S Wayne St. Angola, IN 46703. Directions · (260) 668-1000. Call Now.","We are committed to providing grant funds for exciting projects, sustaining support for essential services, awarding scholarships for students to receive higher ...",The location of the vaccine clinic is 317 S. Wayne St. Suite 1B Angola IN 46703. This is the first floor of the community center on the south side of the ...,"Returning to Club P, we can't wait to see you on June 4 Learn More Adopt your new best friend to give a pet the care it needs and the love it deserves.","... start at 7:00 p.m. in the Board of Health Conference Room on the first floor of the Community Center located at 317 S. Wayne St. Angola, IN 46703."
Angola Reuters,188,True,https://www.reuters.com/article/angola-economy/exclusive-angola-heads-to-bond-markets-sonangol-plans-delayed-finance-minister-idUKL8N2U43AC,https://graphics.reuters.com/world-coronavirus-tracker-and-maps/countries-and-territories/angola/,https://www.reuters.com/business/exclusive-bp-eni-near-deal-angola-jv-algeria-asset-swap-sources-2022-03-11/,https://www.reuters.com/business/energy/exclusive-bp-eni-seek-raise-2-bln-angola-joint-venture-2021-10-01/,https://www.reuters.com/business/diamond-miner-de-beers-returns-angola-after-ten-year-absence-2022-04-20/,"EXCLUSIVE-Angola heads to bond markets, Sonangol plans ...","Angola: the latest coronavirus counts, charts and maps","EXCLUSIVE BP, Eni clinch deal on Angola joint venture | Reuters","EXCLUSIVE BP, Eni seek to raise $2 bln for Angola joint venture ...",Diamond miner De Beers returns to Angola after ten-year absence ...,"Jan 24, 2022 ... LONDON, Jan 24 (Reuters) - Angola will return to international capital markets this year to sell Eurobonds, finance minister Vera Daves de ...","Reuters is collecting daily COVID-19 infections and deaths data for 240 countries and territories around the world, updated regularly throughout each day. Every ...","Mar 11, 2022 ... LONDON, March 11 (Reuters) - Eni and BP have completed a deal to merge their oil and gas operations in Angola, the groups said on Friday, ...","Oct 1, 2021 ... LONDON, Oct 1 (Reuters) - BP (BP.L) and Eni (ENI.MI) are seeking to raise up to $2 billion for their emerging oil and gas joint venture in ...","Apr 22, 2022 ... LUANDA, April 20 (Reuters) - Diamond miner De Beers has signed two mineral investment contracts with the Angolan government, the Anglo ..."
