entity,n,category,predicted occupation,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
James Brady,124,person,judge,Appeals court rules Louisiana can try 'Angola 3' inmate a 3rd time,Federal Judge Orders Release Of Last 'Angola 3' Prisoner : The Two ...,Three Former Correctional Officers at Angola Prison Sentenced for ...,Former Angola Prison Supervisor Sentenced for Wire Fraud Scheme ...,"Albert Woodfox, Angola Inmate, Can Be Tried 3rd Time, Court Rules ...","Nov 9, 2015 ... The 2-1 decision by the 5th U.S. Circuit Court of Appeals reverses a June order by U.S. District Judge James Brady that ordered Woodfox's ...","Jun 9, 2015 ... U.S. District Judge James Brady has now ruled that Woodfox could not receive another fair trial so he should be released.","Jan 8, 2015 ... ... State Penitentiary in Angola, Louisiana, were sentenced today before United States District Judge James J. Brady for the Middle District ...","Aug 29, 2017 ... Amundson announced that Senior U.S. District Judge James J. Brady sentenced SHIRLEY WHITTINGTON, age 46, of St. Francisville, Louisiana, to ...","Nov 10, 2015 ... In their opinion, the prevailing judges also said Judge James Brady of United States District Court for the Middle District of Louisiana had ..."
Jennifer Decker,117,person,journalist,City of Angola is getting the love it needs | Jennifer Decker ...,Tenneco expanding in Angola | Northeast Indiana Regional ...,Lost Bus finds way to Angola | News | kpcnews.com,Join us on May 5!,"Not a 'flophouse,' but a 'turning point' | Jennifer Decker | kpcnews.com","Aug 30, 2014 ... Say what you will about the second phase of Angola's West Maumee ... JENNIFER DECKER is a reporter at The Herald Republican in Angola.","May 3, 2011 ... Tenneco given tax abatement. by Jennifer Decker jdecker@kpcnews.net. Tuesday, 03 May 2011 07:28. ANGOLA — Tenneco Automotive Operating Co.","ANGOLA — The Lost Bus can't be overlooked with its screaming multi-colors and despite a broken compass, they find their way ... Photo by Jennifer Decker.","A N G O L A , I N . M A Y 2 0 1 9. A big thank you to ... Andres, Norma Baker, Jennifer Decker, ... has been a vital part of the Angola com-.","Mar 23, 2016 ... Hentzell has been heading the Angola facility at 600 N. Williams St. since September. Prior to that, she headed Noble House, Albion, for some ..."
Market Research,115,org,#N/A,,,,,,,,,,
Zandre Campos,110,person,businessperson,Zandre Campos – ABO Capital,Zandre Campos - CEO - ABO Capital | LinkedIn,Zandre Campos - Crunchbase Person Profile,Zandre Campos,Comment: The future of Angola's infrastructure development,"Zandre Campos is one of the great, innovative business leaders and global entrepreneurs emerging out of Africa. Currently, he is chairman and CEO of ABO ...","Angola isn't a regular starting point for many African investors, but it is home for Zandre Campos, chief executive officer (CEO) of ABO Capital and noted ...","Currently, he is chairman and CEO of ABO Capital, formerly Angola Capital Investments (ACI). An Angola native, Campos quit his job with Sonangol, Angola's ...","Zandre Campos is chairman and CEO of Angola Capital Investments (ACI), an international investment firm that invests in companies in the healthcare, energy, ...","Nov 14, 2018 ... As Angola seeks to diversify its economy, one of the key sectors that continues to grow is infrastructure development, explains Zandre Campos."
Department Of Public Safety,108,org,#N/A,,,,,,,,,,
Cobalt International Energy,106,org,#N/A,,,,,,,,,,
Steuben County Sheriff Office,104,org,#N/A,,,,,,,,,,
Angola Middle School,102,org,#N/A,,,,,,,,,,
Breakfast Club,100,org,#N/A,,,,,,,,,,
Steuben County Council,100,org,#N/A,,,,,,,,,,
Angola Police Department,93,org,#N/A,,,,,,,,,,
World Bank,92,org,#N/A,,,,,,,,,,
United Nations,90,org,#N/A,,,,,,,,,,
Steuben County Community Foundation,90,org,#N/A,,,,,,,,,,
Eduardo Dos Santos,89,person,politician,José Eduardo dos Santos - Wikipedia,Angola's ex-leader Dos Santos back home after 30-month exile ...,Jose dos Santos | Biography & Facts | Britannica,Angola: The fall of the dos Santos clan | Africa | DW | 26.09.2018,Angola: Does the return of José Eduardo dos Santos signal a truce ...,José Eduardo dos Santos (Portuguese pronunciation: [ʒuˈzɛ eˈðwaɾðu dus ˈsɐ̃tuʃ]; born 28 August 1942) is an Angolan politician who served as the president of ...,"Sep 15, 2021 ... JOHANNESBURG, Sept 14 (Reuters) - Angola's former President Jose Eduardo Dos Santos returned home on Tuesday for the first time since he ...","4 days ago ... José dos Santos, in full José Eduardo dos Santos, (born August 28, 1942, Luanda, Angola), Angolan politician who served as president of ...","Sep 26, 2018 ... Former Angolan President Jose Eduardo dos Santos Angola and his daughter Isabel in the background. The news hit like a bomb in Luanda: Jose ...","Sep 17, 2021 ... After two years of absence and several weeks of speculation, former president José Eduardo dos Santos, who led Angola from 1979 to 2017, finally ..."
District Court,89,org,#N/A,,,,,,,,,,
Morgan,87,org,#N/A,,,,,,,,,,
Statoil,86,org,#N/A,,,,,,,,,,
Global Landscapes Forum,86,org,#N/A,,,,,,,,,,
Steuben County Plan Commission,85,org,#N/A,,,,,,,,,,
National Assembly,82,org,#N/A,,,,,,,,,,
International Monetary Fund,81,org,#N/A,,,,,,,,,,
Moody,80,org,#N/A,,,,,,,,,,
Angola Press Agency,78,org,#N/A,,,,,,,,,,
News Service,73,org,#N/A,,,,,,,,,,
Gibson,73,org,#N/A,,,,,,,,,,
Dekalb County Sheriff Department,72,org,#N/A,,,,,,,,,,
Billy Graham Library In Charlotte,71,org,#N/A,,,,,,,,,,
Steuben Superior Court,69,org,#N/A,,,,,,,,,,
Health Department,69,org,#N/A,,,,,,,,,,
Zacks Investment Research,69,org,#N/A,,,,,,,,,,
Billy Graham Library On,68,org,#N/A,,,,,,,,,,
Evans Police,66,org,#N/A,,,,,,,,,,
Steuben Circuit Court,65,org,#N/A,,,,,,,,,,
School District Of Steuben,65,org,#N/A,,,,,,,,,,
Anthony,65,org,#N/A,,,,,,,,,,
European Union,60,org,#N/A,,,,,,,,,,
Carnegie Public Library Of Steuben,60,org,#N/A,,,,,,,,,,
Angola Area Chamber,59,org,#N/A,,,,,,,,,,
Morris,58,org,#N/A,,,,,,,,,,
Office Hours Call,58,org,#N/A,,,,,,,,,,
Hyatt,58,org,#N/A,,,,,,,,,,
International Coalition To Free The Angola,57,org,#N/A,,,,,,,,,,
Manuel Vicente,56,person,politician,Manuel Vicente - Wikipedia,Angola VP Manuel Vicente 'to face Portugal corruption charges ...,"Lourenço's Angola: The winners, the losers and the escape artists",Former vice-president on trial: a watershed moment ...,Is Angola's Anti-Corruption Drive Real or Cosmetic?,Manuel Domingos Vicente (born 15 May 1956) is an Angolan politician who served as the vice president of Angola between September 2012 and September 2017.,"Feb 16, 2017 ... Portuguese state prosecutors are bringing corruption charges against Angola's vice-president Manuel Vicente. · The attorney-general's office says ...","May 13, 2021 ... João Lourenço's ascension to the presidency put an end to the influence of Isabel dos Santos, Manuel Vicente and General Kopelipa, ...","Jan 23, 2018 ... Manuel Vicente is the former head of the all-powerful Angolan state oil company Sonangol and was, until a few months ago, the vice-president ...","Jan 10, 2020 ... FILE - Angola's Vice President Manuel Vicente addresses a session during the India Africa Forum Summit in New Delhi, India, Oct. 29, 2015."
Vitol,56,org,#N/A,,,,,,,,,,
Media Group,56,org,#N/A,,,,,,,,,,
Fremont Community Schools,55,org,#N/A,,,,,,,,,,
Community Humane Shelter Of Steuben,54,org,#N/A,,,,,,,,,,
Angola Employee Recreation Committee,53,org,#N/A,,,,,,,,,,
First Congregational United Church,52,org,#N/A,,,,,,,,,,
Auburn Police Department,51,org,#N/A,,,,,,,,,,
Tiffany Johnson,51,person,critic,"2 women, one a prison worker, accused of taking drugs into Angola",Tiffany Johnson elected first female chair of Rutherford County ...,Shark Bite Victim Grateful for Renewed Chance to Shine God's Light,Caleb Holt '07 Charlotte Sellmyer '08 Josh Noworatzky '07 Tiffany ...,Directory of Courts & Clerks in Indiana,"Jun 13, 2017 ... The Louisiana Department of Corrections reported Shakitta Anderson, 25, of Gloster, MS, and Tiffany Johnson, 33, of Baton Rouge, ...","Sep 21, 2021 ... Tiffany Johnson officially took her as seat as the first female chairperson of the Rutherford County Schools Board of Education this month.","Jul 21, 2017 ... Tiffany Johnson wouldn't change what's happened—even if she could.",Tiffany Johnson '06 ... Previously worked for Bechtel in Angola and Australia building liquid natural gas export terminals.,"Johnson County 20. Knox County 21. Kosciusko County 22 ... Tiffany U. Vivo, Judge. Susan Boatright, Magistrate ... Angola, IN 46703. Pho: 260-668-1000."
Teekay Corporation,51,org,#N/A,,,,,,,,,,
Sussex County Council,50,org,#N/A,,,,,,,,,,
Time Warner Company,49,org,#N/A,,,,,,,,,,
Buffalo News,48,org,#N/A,,,,,,,,,,
Billy Graham Evangelistic Association,48,org,#N/A,,,,,,,,,,
Steuben County Council On,48,org,#N/A,,,,,,,,,,
American Legion,47,org,#N/A,,,,,,,,,,
Parkview Regional Medical Center,46,org,#N/A,,,,,,,,,,
Nasdaq,46,org,#N/A,,,,,,,,,,
Dixon Correctional Institute,46,org,#N/A,,,,,,,,,,
Jim Crowl,45,person,businessperson,A gentle giant | Heraldrepublican | kpcnews.com,James Keith “Jim” Crowl | Obituaries | richlandsource.com,WTHD Thunder Country 105.5,"Crowl Earthwork & Construction Inc in Angola, IN - (260) 665-9736","April 16, 2018 Commissioners' Meeting Continued STEUBEN ...","Dec 10, 2019 ... Friends like Jim Crowl, a Steuben County native and current county ... Another one of those business associates was Jeff Smith, Angola, ...","Aug 27, 2021 ... James Keith “Jim” Crowl passed peacefully away on August 25, 2021. He lived a life of being there for his family at all costs and being ...","Jun 2, 2020 ... Pictured is Ken Shelton (R) who won over James A. Crowl (R) for the GOP spot at Steuben County Middle District Commissioner. ANGOLA ...",James Crowl is the President at Crowl Earthwork & Construction. You can contact James at (260) 665-9736. Where is Crowl ...,James Crowl asked how far off the road the location in her photo was. ... do not discharge any weed control liens assessed by the City of Angola and the net.
Common Council,45,org,#N/A,,,,,,,,,,
Enterprise Center,45,org,#N/A,,,,,,,,,,
Walmart,45,org,#N/A,,,,,,,,,,
Circuit Court,45,org,#N/A,,,,,,,,,,
Hub Development,44,org,#N/A,,,,,,,,,,
John Bel Edwards,44,person,politician,John Bel Edwards reduces 22 prisoners' terms -- and gets Angola ...,Office of Governor John Bel Edwards,Gov. John Bel Edwards invites President Donald Trump to tour ...,Proclamations | Office of Governor John Bel Edwards,Pardons & Parole - Louisiana Department of Public Safety ...,"John Bel Edwards is expected to make his big push to change criminal sentencing laws and reduce ... 25, 2017, at the Louisiana State Penitentiary at Angola.","The Office of Governor John Bel Edwards, putting Louisiana first..","Aug 9, 2018 ... Gov. John Bel Edwards has invited President Donald Trump to Louisiana to tour the State Penitentiary at Angola and see ongoing efforts to ...","The Office of Governor John Bel Edwards, putting Louisiana first..","After her retirement from the Louisiana Department of Public Safety & Corrections, Governor John Bel Edwards appointed Ms. Wise to serve as an at-large ..."
Anadarko Petroleum,44,org,#N/A,,,,,,,,,,
Plan Commission,43,org,#N/A,,,,,,,,,,
Halliburton,43,org,#N/A,,,,,,,,,,
Jpmorgan Chase Co,41,org,#N/A,,,,,,,,,,
Council On,41,org,#N/A,,,,,,,,,,
Meijer,41,org,#N/A,,,,,,,,,,
Investment Company Angola,40,org,#N/A,,,,,,,,,,
Foundation Box Imnottouchingyou,40,org,#N/A,,,,,,,,,,
World Forestry Congress,39,org,#N/A,,,,,,,,,,
World Health Organization,39,org,#N/A,,,,,,,,,,
Steuben County Economic Development Corp,39,org,#N/A,,,,,,,,,,
People Movement For The Liberation Of Angola,39,org,#N/A,,,,,,,,,,
Fort Wayne Police,38,org,#N/A,,,,,,,,,,
National Development Plan,38,org,#N/A,,,,,,,,,,
Anadarko,38,org,#N/A,,,,,,,,,,
Humane Society,37,org,#N/A,,,,,,,,,,
Dekalb County Sheriff Office,37,org,#N/A,,,,,,,,,,
Steuben County Health Department,37,org,#N/A,,,,,,,,,,
Sheriff Department,37,org,#N/A,,,,,,,,,,
Garrett Police Department,37,org,#N/A,,,,,,,,,,
National Weather Service,36,org,#N/A,,,,,,,,,,
Keppel Shipyard,36,org,#N/A,,,,,,,,,,
Mcdonald,35,org,#N/A,,,,,,,,,,
Joe Hysong,35,person,social activist,Joe Hysong - Chief Bike Guy - Bike and Soul Angola | LinkedIn,Hysong making run at mayor's office | Heraldrepublican | kpcnews.com,Joe Hysong | Facebook,About Us,Hysong wins GOP nomination for Angola mayor | Heraldrepublican ...,"After 16 Years of working as General Manager at Harold Chevrolet, I feel like it is time to give back more of myself to the community and that is why i am ...","Jan 9, 2019 ... ANGOLA — Local businessman, entrepreneur and Angola Common Councilman Joe Hysong is making a run at the office of mayor in Angola like about ...","Helping people find the right car at the right price everyday! Bike and Soul Angola, profile picture. Bike and Soul Angola. Chief Bike Guy.","Angola IN 46703 260-665-8356. Ride Bikes Get Healthy Have Fun ... Established in 2015, Bike and Soul was built on the dream of both Libby and Joe Hysong.","May 8, 2019 ... Angola Common Councilman Joe Hysong, right, was already posing for photos with babies after winning the Republican nomination for mayor of ..."
Angola Plan Commission,35,org,#N/A,,,,,,,,,,
Fairview Missionary Church,35,org,#N/A,,,,,,,,,,
Council Of Ministers,35,org,#N/A,,,,,,,,,,
Argent Bank,34,org,#N/A,,,,,,,,,,
Jen Sharkey,33,person,businessperson,"Jennifer Sharkey, PE, CPM, MBA - Lead Research Engineer ...",Trine alumna named state's Outstanding County Highway Engineer,County engineer leaves for position with Purdue | Heraldrepublican ...,Emily Watkins and Jennifer Sharkey's Wedding Website,jennifer-sharkey Profiles | Facebook,"View Jennifer Sharkey, PE, CPM, MBA'S profile on LinkedIn, the world's largest professional community. ... Angola, Indiana, United States500+ connections.","Jen Sharkey, 2007 BSCE, who serves as Steuben County Highway Engineer, was named the 2016 ... of the bike trail from the Angola city limits to Hoosier Hill.","Feb 9, 2021 ... ANGOLA — Steuben County's highway engineer is leaving for a new career ... Jen Sharkey, who has been the highway engineer since 2013, ...",The wedding website of Emily Watkins and Jennifer Sharkey.,View the profiles of people named Jennifer Sharkey. Join Facebook to connect with Jennifer Sharkey and others you may know. Facebook gives people the...
Constitutional Court,33,org,#N/A,,,,,,,,,,
National News Last Of Angola,33,org,#N/A,,,,,,,,,,
Oil Refining Industry,33,org,#N/A,,,,,,,,,,
Recreation Department,33,org,#N/A,,,,,,,,,,
Connie Mccahill,33,person,businessperson,"Connie McCahill - Angola, Indiana, United States | Professional ...",March 31 - Connie McCahill retiring as Cameron Hospital president ...,"McCahill retiring as Cameron Hospital president, CEO ...",Angola's Cameron Hospital Board Appoints New CEO - The Village ...,"Cameron Hospital, Parkview Health Partner – Inside INdiana Business","Connie McCahill. Former President/CEO at Cameron Memorial Community Hospital. Cameron Memorial Community HospitalUniversity of Notre Dame. Angola, Indiana ...","Mar 31, 2021 ... ANGOLA — Connie McCahill is retiring as president and CEO at Cameron Memorial Community Hospital, it was announced March 31.","Mar 31, 2021 ... ANGOLA — Connie McCahill is retiring as president and CEO at Cameron Memorial Community Hospital, it was announced Wednesday.","Jul 6, 2015 ... “Connie McCahill came to Cameron Hospital almost three years ago as our Chief Operating Officer,” said Dr. Dave Goodwin, Board Chair.","Sep 2, 2015 ... ANGOLA, Ind. - Cameron Memorial Community Hospital in Angola has ... Chief Executive Officer Connie McCahill says the agreement will help ..."
Amir Ali,32,person,lawyer,Corey Williams was 16 when Louisiana charged him with murder ...,UPDATE 1-Cricket-One Day International West Indies v Pakistan ...,Browse by country Angola | ICIJ Offshore Leaks Database,Caddo man who claims prosecutors withheld evidence set to be freed,Amir Ali (lawyer) - Wikipedia,"May 22, 2018 ... Corey Dewayne Williams, right, after his release Tuesday morning from the Louisiana State Penitentiary in Angola, with lawyers Amir Ali, ...","Apr 7, 2017 ... ... A. Joseph Bowling Mohammad Amir 9 - 0 - 59 - 2(w-4) Hasan Ali 5 - 0 - 43 - 0 Mohammad Hafeez 8 - 0 - 35 - 1(w-1) Shoaib Malik 6 - 0 - 24 ...","Mr. Firoz Amirali JAFAR, Angola, Panama Papers · Mr. Rui António da CRUZ, Angola, Panama Papers · Karim Merali, Angola, Panama Papers.","May 22, 2018 ... An employee at the Louisiana State Penitentiary at Angola said Corey ... Penitentiary at Angola, according to defense attorney Amir Ali.",Amir Ali is an American civil rights attorney and law professor who has argued multiple cases before the U.S. Supreme Court and testified before Congress.
Inmate Welfare Fund,32,org,#N/A,,,,,,,,,,
First Circuit Court,32,org,#N/A,,,,,,,,,,
Steuben County Lakes Council,31,org,#N/A,,,,,,,,,,
Dave Martin,31,person,politician,"Common Council / City of Angola, Indiana",University receives check for Regional Cities,"Board of Public Works and Safety / City of Angola, Indiana","Hillar Moore objects, but convicted Baton Rouge killer given parole ...",Time for South Africa to take a fresh look at the DRC,"District D, Mayor Pro Tem. Dave Martin; dmartin@angolain.org; 260-665-6116. District B. Dave Olson; dolson@angolain.org; 260-665-6043 ...","D., Trine president; Isaac Lee, executive director, SCEDC; Brett Shull, town manager, Hamilton; Vivian Likes, city planner, Angola; Dave Martin, mayor pro tem, ...","The official website of the City of Angola, Indiana. ... rhickman@angolain.org; 260-665-3556. Dave Martin. dmartin@angolain.org; 260-665-6116. Dave Olson.","Dec 30, 2016 ... David Martin Bacon, 53, had spent 27 years behind bars after an East ... Angola prison magazine's inmate editor, convicted in 1984 murder of ...","Jun 1, 2021 ... Shopkeeper Grace Ilunga and the author Dave Martin in Kasaji, ... stock Brazilian toothpaste if the only passable road heads west to Angola."
Katherine Dorroh,31,person,judge,"Glenn Ford, Death Row Prisoner Freed After 29 Years, Dies at 65 ...",Serial hit man admits to 1979 execution-style slaying,Exonerated Angola inmate faces second death sentence | wwltv.com,Man who claims prosecutors withheld evidence set to be freed ...,Glenn Ford | The Marshall Project,"Jul 2, 2015 ... Mr. Ford walked out of the Louisiana State Penitentiary at Angola, ... A district court judge, Katherine Dorroh, ruled that even though he ...","Mar 30, 2016 ... ... Judge Katherine Dorroh sentenced him to the 21 years mandated by ... Dorroh ordered him to pay court costs and to return to Angola at ...","Mar 2, 2015 ... 5 hearing before Caddo Parish District Judge Katherine Dorroh. Wenstrom said Dorroh said she would do her best to rule within 30 days.","May 22, 2018 ... ... Penitentiary at Angola, according to defense attorney Amir Ali. ... Judge Katherine Dorroh to vacate his murder conviction, Ali said.","Judge denies Glenn Ford compensation Judge Katherine Dorroh said exonerated death row inmate was ... Glenn Ford, freed after 29 years on Angola's death row, ..."
Tobacco Commission,31,org,#N/A,,,,,,,,,,
Oil Storage,31,org,#N/A,,,,,,,,,,
Energy Natural Resources Market,31,org,#N/A,,,,,,,,,,
Dave Olson,27,person,politician,Angola government students learn from local representative ...,"Common Council / City of Angola, Indiana",First Congregational United Church of Christ celebrates 150 years in ...,"Board of Public Works and Safety / City of Angola, Indiana",Obituary of Vance Olson | Addison Funeral Home Inc. serving ...,"May 3, 2019 ... State Rep. Denny Zent, R-Angola, stands with David Olson and his Angola High School third-period government students on Thursday morning. Amy ...","District D, Mayor Pro Tem. Dave Martin; dmartin@angolain.org; 260-665-6116. District B. Dave Olson; dolson@angolain.org; 260-665-6043 ...","May 4, 2019 ... Olson also serves as an Angola Common Council member. ... Free Library installed on the front lawn of the church by Dave and Bonnie Snyder.","The official website of the City of Angola, Indiana. ... rhickman@angolain.org; 260-665-3556. Dave Martin. dmartin@angolain.org; 260-665-6116. Dave Olson.","Vance C. Olson, of Angola, NY, passed away Monday, May 14, 2012 in Buffalo Mercy ... Ronald (Elly) Olson, Sharon (Tom) Borowski and the late David Olson."
Carlos Saturnino,26,person,economist,Carlos Saturnino Guerra Sousa e Oliveira,Angola's new president defies critics to shake up dos Santos elite ...,Carlos Saturnino - Latest oil and gas news | Upstream Online,Angola: Carlos Saturnino dismissed as chair of Sonangol | Club of ...,Carlos Saturnino Guerra Sousa e Oliveira | Profile | Africa Confidential,"As an Economist, Dr. Carlos Saturnino has 30 years of experience in the field of oil and gas in Angola and abroad working for Sonangol and its subsidiaries.","Nov 7, 2017 ... When José Eduardo dos Santos, the man who ran Angola with near-absolute ... appointed Carlos Saturnino as his secretary of state for oil.","Carlos Saturnino · Sonangol chief Saturnino sacked, report says · Sonangol, ExxonMobil sign Angola MOU · Summit meeting in Angola · Total takes FID on Zinia.","May 9, 2019 ... Angola's president, João Lourenço, has dismissed Carlos Saturnino as chairman of the state-owned oil company Sonangol, and appointed ...",Results 1 - 6 of 6 ... Displaying 1-6 out of 6 results. Vol 60 No 10 |; ANGOLA · Sonangol's head rolls. 17th May 2019.
Rick Shipe,25,person,politician,Elected Officials,Jan. 29 - Angola hires new economic development director ...,County Council Members,Trine alumna named state's Outstanding County Highway Engineer,Robust ballot faces Steuben voters | Election | kpcnews.com,"Commissioners Lynne Liechty, North District Ken Shelton, Middle District Wil Howard, South District County Council Rick Shipe, President","Jan 29, 2022 ... ANGOLA — A veteran city planner with experience in private industry and ... She is the daughter of Rick and Brenda Shipe of rural Angola.","Lisa Aldrich. Ruth Beer. Dan Caruso. Jim Getz, Vice President. Bill Harter. Tony Isa. Rick Shipe, President. Code Red. Sign up for email updates.","... of the bike trail from the Angola city limits to Hoosier Hill. ... working for the county,” said Rick Shipe, president of the Steuben County Council.","Apr 30, 2022 ... District 2 Council President Rick Shipe, Republican of rural Angola, will be facing Democrat David MacFadyen, Angola, in the fall."
Mike Conley,25,person,businessperson,Mike Conley - Business Transaction Specialist - BIB Group ...,Mike Conley | Facebook,Glendarin Hills Golf Club - Events | Facebook,Angola shooting for Guinness Donut Capital of the World ...,Mike Conley | Mad Anthony Brewing Company,"View Mike Conley's profile on LinkedIn, the world's largest professional ... in Sowles Bay Yacht Club and Sowles Bay Storage on Lake James - Angola, IN.","Mike Conley is on Facebook. Join Facebook to connect with Mike Conley and others you may know. ... Angola High School, profile picture · Angola High School.","Angola, IN. May17. 2020 Titleist Loyalty Reward Program. Apr 20, 2020 - May 17, 2020. Glendarin Hills Golf Club. Angola, IN ... Wednesday's with Mike Conley.","May 24, 2022 ... The world-record attempting event will have a shotgun start as the doughnut sales begin at 6 a.m.. Fort Wayne musician Mike Conley will perform ...","Mike Conley. Saturday, September 20, 2014. 8-11pm. Event Location: Fort Wayne - Mad Anthony Brewing Company ..."
Isaac Lee,25,person,businessperson,"Isaac R. Lee, MBA - Executive Director - Steuben County Economic ...",Staff | Invest in Northern Indiana Lakes Country | Steuben County ...,Steuben County EDC headquarters nearing completion ...,Trine professor's company receives 1st AIF grant check,Document Center / Steuben County Economic Development ...,"Isaac R. Lee, MBA. Economic Developer | Trusted Facilitater | Connector. Steuben County Economic Development CorporationDefiance College. Angola, Indiana ...","By Ashlee Hoos ahoos@kpcmedia.com Oct 17, 2020 ANGOLA — If you ask Laurie Volk of… Lee recognized as Top 50 Economic Developer by Consultant Connect. Isaac Lee, ...","Jan 12, 2021 ... ANGOLA — Isaac Lee refers to Steuben County Economic Development Corp.'s growing hub at 907 S. Wayne St. as a campus.","Angola Mayor Richard Hickman said Blaire Biomedical, founded by Trine University ... AIF board member Isaac Lee, executive director of the Steuben County ...","The official website of the City of Angola, Indiana. ... Message from Executive Director, Isaac Lee. First, I would like to welcome you to our latest ..."
Rafael Marques,24,person,journalist,Rafael Marques (journalist) - Wikipedia,Global Freedom of Expression | The Case of Rafael Marques de ...,"Rafael Marques de Morais v. Angola, Communication No. 1128 ...",Rafael Marques-de-Morais | Global Initiative,Why Is Angola Putting Journalist Rafael Marques On Trial For ...,Rafael Marques de Morais (born 1971) is an Angolan journalist and anti-corruption activist who received several international awards for his reporting on ...,Journalist Rafael Marques de Morais published a book about human rights violations committed in Angola's diamond fields. Several army generals and partners ...,"The author of the communication is Rafael Marques de Morais, an Angolan citizen, born on 31 August 1971. He claims to be a victim of violations by Angola (1) of ...",Mr. Rafael Marques de Morais is a journalist and human rights defender with a special interest in political economy and human rights in Angola.,"Dec 11, 2014 ... In 2011, journalist Rafael Marques de Morais wrote a book detailing torture and killings in an Angolan diamond mining district."
Paul Ensley,24,person,politician,Several legislators absent at sessions | Political notebook | The ...,Democratic candidate withdraws from City Council race | | kpcnews ...,"Ensley Electric, Inc. Company Profile | El Cajon, CA | Competitors ...","Science Central's $500,000 from Legacy back on the table ...",Mayor Henry defiant about criticism of his administration's handling ...,"Jan 16, 2022 ... Dennis Zent, R-Angola, confirmed his positive test to The Journal Gazette ... Republican Councilman Paul Ensley was president last year, ...","Feb 20, 2019 ... The Republican incumbent Paul Ensley, who has filed to run for a second term, will run unopposed. Ensley serves as the co-chair of the City ...","A D&B Hoovers Subscription is your foot in the door to Ensley Electric, Inc. contact information. Paul Ensley. President. PAIGE ENSLEY. Treasurer.","Dec 18, 2019 ... The item was first on the council agenda during the April 16 meeting where council member Paul Ensley, R-1st, insisted that the Legacy Fund ...","Nov 18, 2021 ... ... it's very apparent that this is an unacceptable level of service,” said Paul Ensley, who represents northeast Fort Wayne."
